quote,author,tags,likes
Always forgive your enemies; nothing annoys them so much.,Oscar Wilde,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/attributed-no-source"">attributed-no-source</a>,
       <a href=""/quotes/tag/enemies"">enemies</a>,
       <a href=""/quotes/tag/forgiveness"">forgiveness</a>,
       <a href=""/quotes/tag/strategy"">strategy</a>
</div>",74929
"To live is the rarest thing in the world. Most people exist, that is all.",Oscar Wilde,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/life"">life</a>
</div>",72981
Live as if you were to die tomorrow. Learn as if you were to live forever.,Mahatma Gandhi,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/carpe-diem"">carpe-diem</a>,
       <a href=""/quotes/tag/education"">education</a>,
       <a href=""/quotes/tag/inspirational"">inspirational</a>,
       <a href=""/quotes/tag/learning"">learning</a>
</div>",72219
Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.,Martin Luther King Jr.,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/darkness"">darkness</a>,
       <a href=""/quotes/tag/drive-out"">drive-out</a>,
       <a href=""/quotes/tag/hate"">hate</a>,
       <a href=""/quotes/tag/inspirational"">inspirational</a>,
       <a href=""/quotes/tag/light"">light</a>,
       <a href=""/quotes/tag/love"">love</a>,
       <a href=""/quotes/tag/peace"">peace</a>
</div>",71591
I am so clever that sometimes I don't understand a single word of what I am saying.,Oscar Wilde,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/intelligence"">intelligence</a>,
       <a href=""/quotes/tag/self-deprecation"">self-deprecation</a>
</div>",67162
"Without music, life would be a mistake.",Friedrich Nietzsche,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/inspirational"">inspirational</a>,
       <a href=""/quotes/tag/music"">music</a>,
       <a href=""/quotes/tag/philosophy"">philosophy</a>
</div>",66261
To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.,Ralph Waldo Emerson,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/accomplishment"">accomplishment</a>,
       <a href=""/quotes/tag/attributed-no-source"">attributed-no-source</a>,
       <a href=""/quotes/tag/be-yourself"">be-yourself</a>,
       <a href=""/quotes/tag/conformity"">conformity</a>,
       <a href=""/quotes/tag/individuality"">individuality</a>
</div>",64677
We accept the love we think we deserve.,Stephen Chbosky,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/inspirational"">inspirational</a>,
       <a href=""/quotes/tag/love"">love</a>
</div>",64668
"Here's to the crazy ones. The misfits. The rebels. The troublemakers. The round pegs in the square holes. The ones who see things differently. They're not fond of rules. And they have no respect for the status quo. You can quote them, disagree with them, glorify or vilify them. About the only thing you can't do is ignore them. Because they change things. They push the human race forward. And while some may see them as the crazy ones, we see genius. Because the people who are crazy enough to think they can change the world, are the ones who do.",Rob Siltanen,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/advertising"">advertising</a>,
       <a href=""/quotes/tag/apple"">apple</a>,
       <a href=""/quotes/tag/change"">change</a>,
       <a href=""/quotes/tag/commercial"">commercial</a>,
       <a href=""/quotes/tag/computers"">computers</a>,
       <a href=""/quotes/tag/different"">different</a>,
       <a href=""/quotes/tag/madness"">madness</a>,
       <a href=""/quotes/tag/misattributed-apple"">misattributed-apple</a>,
       <a href=""/quotes/tag/misattributed-steve-jobs"">misattributed-steve-jobs</a>,
       <a href=""/quotes/tag/misfits"">misfits</a>,
       <a href=""/quotes/tag/nonconformity"">nonconformity</a>,
       <a href=""/quotes/tag/progressive"">progressive</a>,
       <a href=""/quotes/tag/rebels"">rebels</a>,
       <a href=""/quotes/tag/status-quo"">status-quo</a>,
       <a href=""/quotes/tag/think-different"">think-different</a>,
       <a href=""/quotes/tag/troublemakers"">troublemakers</a>
</div>",64502
"Insanity is doing the same thing, over and over again, but expecting different results.",Narcotics Anonymous,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/humor"">humor</a>,
       <a href=""/quotes/tag/insanity"">insanity</a>,
       <a href=""/quotes/tag/life"">life</a>,
       <a href=""/quotes/tag/misattributed-ben-franklin"">misattributed-ben-franklin</a>,
       <a href=""/quotes/tag/misattributed-mark-twain"">misattributed-mark-twain</a>,
       <a href=""/quotes/tag/misattributed-to-einstein"">misattributed-to-einstein</a>
</div>",60764
